feature,importance
AC_POWER_3H_AVG,0.9107278270349582
DC_POWER,0.05278510637343303
IRRADIATION,0.011103620134534727
IRRADIATION_SQUARED,0.005171750577752105
AC_POWER,0.004223968578386635
AC_POWER_LAG_6H,0.002654167086843507
AC_POWER_LAG_3H,0.0021098605961339017
AC_POWER_3H_STD,0.0018009571494409739
AC_POWER_LAG_1H,0.001046307179774326
EFFICIENCY_LAG_1H,0.0008838420008946
DAILY_YIELD,0.0006767372175601622
EFFICIENCY_LAG_3H,0.0006447562938004752
POWER_PER_IRRADIATION,0.0005607082490866066
MODULE_TEMPERATURE,0.0004887556972442083
AMBIENT_TEMPERATURE_3H_AVG,0.00044435805930053736
IRRADIATION_LAG_3H,0.0004401874495598405
IRRADIATION_LAG_6H,0.0004351650077644665
IRRADIATION_3H_AVG,0.00040186011536465585
EFFICIENCY_LAG_6H,0.00035030352028079436
IRRADIATION_3H_STD,0.0003491970844076126
EFFICIENCY,0.0003086398122824536
IRRADIATION_LAG_1H,0.00027632587419615146
TEMP_EFFICIENCY_RATIO,0.0002749471197090154
TEMP_DIFF,0.00024742786666575087
DC_AC_RATIO,0.0002368766084209912
DAY,0.00020905377486821398
TEMP_SQUARED,0.0002005887924727604
AMBIENT_TEMPERATURE_3H_STD,0.00018180107441955154
AMBIENT_TEMPERATURE,0.00018128325228338192
HOUR_COS,0.00016260434550148322
DAY_OF_WEEK,0.0001413187626359883
DAY_OF_YEAR,9.333429793598887e-05
DAY_SIN,5.026555563878218e-05
DAY_COS,4.9648905269103416e-05
HOUR_SIN,3.684423442152475e-05
HOUR,3.280240287022367e-05
MONTH_SIN,7.134369932644993e-06
PLANT_ID,4.0022105107374445e-06
PLANT_ID_weather,2.4252354362651678e-06
MONTH_COS,1.7882218076628426e-06
MONTH,1.1919239332465284e-06
PLANT_ENCODED,2.599522665272943e-07
QUARTER,0.0
YEAR,0.0
